Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Value,Recoverable
Smartphone,Cat3,8.99,7.39,8.12,3.73,4.46,8.05,4.6,6.9,9.08,881.26,1800.693238,1
Speaker,Cat4,9.54,0.39,4.23,9.56,8.64,6.39,4.61,0.88,8.16,695.87,2416.705666,1
Iron,Cat2,0.49,0.37,2.26,4.14,4.59,0.63,7.1,0.28,9.3,145.46,855.68188,0
Vacuum Cleaner,Cat2,6.76,4.73,2.75,8.03,1.89,7.85,7.73,9.62,1.2,482.39,1891.4283099999998,1
Smartphone,Cat3,0.42,6.34,4.06,2.28,8.06,1.09,6.05,2.19,7.41,241.94,714.5839609999999,0
Washing Machine,Cat1,9.21,1.07,9.74,7.45,6.64,7.21,1.27,3.32,3.2,975.26,2516.10947,1
Vacuum Cleaner,Cat2,5.42,9.48,4.9,6.44,3.58,1.19,3.13,6.07,7.27,534.37,1740.3062070000003,0
Toaster,Cat2,4.1,8.81,9.97,4.48,9.81,2.9,7.4,0.52,1.75,740.9,1764.902315,1
Vacuum Cleaner,Cat2,4.1,2.42,8.78,9.35,0.52,3.33,3.3,7.92,6.12,673.35,2417.112222,1
Toaster,Cat2,3.71,5.98,4.11,5.9,2.12,3.2,5.57,1.41,4.33,406.03,1483.3262630000002,0
Washing Machine,Cat1,0.62,7.58,8.8,8.45,5.48,3.32,7.38,1.3,8.24,506.46,2068.4924840000003,1
Speaker,Cat4,9.76,7.97,2.3,6.61,1.03,2.2,2.08,2.73,4.35,607.43,1823.6662249999997,1
Speaker,Cat4,4.99,1.89,7.11,9.74,7.83,0.1,1.99,0.29,9.05,627.34,2396.9553949999995,1
Washing Machine,Cat1,8.31,8.76,5.12,9.23,6.09,0.62,9.21,2.52,2.25,687.77,2369.1603850000006,1
iPhone 11,Cat3,8.39,6.17,2.9,9.19,8.08,4.93,0.18,3.7,6.1,571.38,2185.7135,1
Vacuum Cleaner,Cat2,7.05,3.09,9.18,8.03,1.26,4.69,4.44,1.07,8.11,840.16,2428.5002509999995,1
Microwave Oven,Cat2,7.08,8.14,9.05,4.23,0.51,8.14,9.98,5.48,5.49,837.61,1835.8075490000003,1
Iron,Cat2,4.69,9.93,6.32,6.81,5.32,3.88,9.96,9.29,6.21,574.92,1868.0553109999998,1
Washing Machine,Cat1,2.12,3.47,7.1,7.23,7.68,5.37,5.98,9.35,3.07,486.79,1830.902067,1
Iron,Cat2,1.9,1.91,2.47,4.09,3.6,0.78,4.4,8.27,5.53,226.86,953.8032029999999,0
Microwave Oven,Cat2,4.34,6.86,1.11,3.38,2.21,1.46,0.29,1.97,2.53,276.71,889.5046029999999,0
iPhone 11,Cat3,2.83,9.39,3.54,4.67,3.93,3.47,0.35,6.66,3.14,334.23,1195.1802440000001,0
Speaker,Cat4,7.23,5.3,2.81,8.93,3.46,1.79,8.45,7.93,6.35,508.93,2065.302175,1
Vacuum Cleaner,Cat2,0.6,9.02,5.5,6.07,0.23,2.6,1.81,1.88,9.74,329.4,1432.2372740000003,0
Microwave Oven,Cat2,2.59,2.97,5.68,8.77,0.24,3.57,6.29,1.18,4.59,433.37,1983.0331089999997,1
Iron,Cat2,2.1,6.34,8.42,3.61,9.35,7.63,0.27,5.19,2.31,558.24,1378.2321310000002,0
Stove,Cat1,8.11,4.69,1.58,3.33,9.95,5.67,7.23,5.85,2.03,486.08,1151.876223,0
Monitor,Cat4,0.2,5.34,3.09,2.58,8.9,4.99,0.44,4.24,7.73,178.67,668.0066429999999,0
Laptop,Cat3,3.45,8.94,3.11,3.97,6.16,3.09,3.76,0.51,7.8,341.42,1089.91328,0
Stove,Cat1,6.81,7.08,1.26,8.88,2.91,9.45,8.32,8.36,5.58,406.4,1907.895708,1
Stove,Cat1,2.35,5.91,7.99,1.75,4.18,3.31,0.59,6.28,8.3,547.09,1069.96572,0
Smartphone,Cat3,7.81,5.9,8.94,3.69,0.68,3.1,7.23,5.22,8.99,866.21,1786.1328589999998,1
Microwave Oven,Cat2,7.16,3.88,8.54,6.58,5.16,6.7,0.88,1.27,9.76,811.82,2159.575326,1
Fridge,Cat1,9.66,5.64,7.68,6.34,8.86,0.98,4.26,0.76,5.81,889.53,2209.303801,1
Audio Equipment,Cat4,1.48,7.62,8.02,9.72,0.33,3.61,2.26,6.75,1.99,506.88,2255.3916390000004,1
Smartphone,Cat3,6.2,8.32,6.5,1.49,0.81,9.58,3.76,3.96,8.22,657.88,1150.142542,0
Laptop,Cat3,1.12,3.26,2.48,5.47,9.71,2.2,2.31,7.64,6.93,189.96,1121.565713,0
Laptop,Cat3,9.39,0.6,8.8,2.34,5.39,2.69,8.27,0.82,3.78,933.37,1658.537868,0
Tablet,Cat3,0.71,5.73,3.97,4.82,5.36,7.88,6.85,6.18,7.86,251.11,1118.5915459999999,0
Monitor,Cat4,3.5,3.75,1.63,6.84,9.89,5.15,4.88,3.76,5.27,261.7,1413.2108369999999,0
Washing Machine,Cat1,7.12,8.15,7.89,6.64,5.86,2.44,4.64,6.17,3.98,777.4,2117.733088,1
Audio Equipment,Cat4,1.92,4.71,3.91,6.68,0.62,6.0,0.37,6.19,6.25,306.66,1475.8572949999998,0
Washing Machine,Cat1,5.54,8.43,4.31,4.49,9.29,0.68,8.0,2.62,2.57,508.12,1396.8422769999997,0
Audio Equipment,Cat4,7.1,6.74,8.79,1.95,9.88,5.79,2.66,1.57,0.17,823.95,1461.248557,0
Audio Equipment,Cat4,8.96,2.32,1.38,6.27,8.29,5.91,0.18,3.22,1.86,515.76,1641.7102559999998,0
Toaster,Cat2,4.59,5.04,5.82,2.17,6.11,9.39,9.02,9.65,2.78,540.52,1097.6953179999998,0
Monitor,Cat4,9.82,7.42,8.01,2.7,7.82,2.06,7.68,9.77,7.48,916.1,1683.5299579999999,0
Audio Equipment,Cat4,1.42,2.02,7.9,0.55,1.75,5.86,8.23,7.62,7.95,494.35,815.4562950000001,0
Toaster,Cat2,4.68,9.1,6.68,5.1,8.98,0.61,9.2,6.07,0.75,593.23,1630.6954549999998,0
Monitor,Cat4,3.39,9.02,3.09,0.41,9.82,8.88,2.44,8.84,2.07,337.61,533.114807,0
Monitor,Cat4,2.5,7.21,2.31,3.15,0.69,7.29,4.35,4.03,8.64,250.89,837.5276439999999,0
iPhone 11,Cat3,5.83,5.76,0.14,4.26,7.75,3.13,3.32,7.81,1.86,297.43,1038.8782459999998,0
Stove,Cat1,1.11,9.17,3.71,2.75,0.27,9.65,8.82,9.06,3.58,258.76,804.748188,0
Iron,Cat2,4.92,7.6,2.85,1.14,8.63,4.92,5.93,7.14,7.41,399.02,720.221021,0
Toaster,Cat2,8.41,1.43,3.79,7.77,8.21,5.67,0.75,7.82,9.5,617.35,2034.4868000000001,1
Audio Equipment,Cat4,5.03,6.29,4.35,2.0,4.47,3.35,4.59,7.96,2.17,483.96,980.455687,0
Stove,Cat1,1.37,7.54,5.86,2.2,5.6,9.22,5.43,6.2,5.43,385.87,908.2523630000001,0
Microwave Oven,Cat2,2.8,8.13,4.73,3.36,6.33,9.61,0.5,9.78,7.43,395.94,1085.7206529999999,0
Speaker,Cat4,3.21,8.22,9.86,7.99,5.48,6.43,7.65,3.7,8.6,690.94,2244.3535900000006,1
Toaster,Cat2,9.21,7.13,8.15,9.95,2.35,6.35,3.13,0.67,2.89,893.46,2780.485209000001,1
Speaker,Cat4,5.63,9.59,0.84,5.92,6.72,3.64,8.1,3.48,2.47,327.3,1344.159467,0
Washing Machine,Cat1,7.52,2.08,2.92,5.53,1.11,1.45,5.16,0.84,9.66,527.19,1562.019236,0
TV,Cat4,4.12,5.87,2.75,5.62,8.04,8.45,9.61,0.24,8.51,353.42,1355.4069610000001,0
Monitor,Cat4,5.38,4.03,8.66,5.98,3.17,7.08,5.25,3.1,4.82,730.85,1966.1119820000001,1
Speaker,Cat4,6.9,6.73,7.59,0.9,8.25,2.66,3.3,8.5,6.08,749.74,1188.785488,0
Audio Equipment,Cat4,2.57,3.86,7.84,6.84,4.34,8.57,4.62,2.9,2.91,548.79,1858.6723610000001,1
Toaster,Cat2,0.86,7.05,9.49,2.61,8.65,0.4,4.99,3.52,8.07,554.91,1233.4976470000001,0
iPhone 11,Cat3,6.1,9.69,9.93,3.54,4.83,4.76,2.3,0.73,0.14,837.5,1740.7093239999997,0
Speaker,Cat4,2.94,7.42,9.44,1.43,4.49,4.03,1.86,2.96,3.57,654.65,1175.864367,0
Toaster,Cat2,9.01,7.1,3.63,2.29,5.36,6.84,1.78,5.55,7.62,641.48,1214.7059719999997,0
Iron,Cat2,6.12,8.59,9.07,3.81,6.68,8.75,8.23,0.11,3.83,791.87,1713.3289630000002,0
Monitor,Cat4,0.81,9.46,8.81,5.01,4.67,3.73,7.81,8.89,9.3,517.4,1549.69547,0
iPhone 11,Cat3,0.56,9.5,6.79,7.91,4.56,0.14,2.23,8.8,0.62,396.84,1819.9249219999997,1
Toaster,Cat2,7.51,8.43,0.36,9.37,5.02,0.53,6.52,0.54,4.79,393.21,1955.326689,1
Smartphone,Cat3,9.22,6.04,1.3,4.22,8.11,6.53,3.32,3.4,8.28,526.39,1337.1903379999997,0
Toaster,Cat2,8.03,1.83,1.08,3.78,9.82,8.27,8.26,7.41,7.31,453.77,1173.5502510000001,0
TV,Cat4,8.91,3.5,2.56,2.58,7.92,2.88,3.29,7.67,1.78,577.14,1163.305268,0
Audio Equipment,Cat4,2.85,7.59,9.26,9.32,3.75,5.11,2.61,0.48,2.42,640.69,2378.8396320000006,1
Washing Machine,Cat1,0.92,6.17,6.62,3.62,0.28,6.76,2.06,0.26,8.83,403.58,1160.476003,0
Washing Machine,Cat1,0.72,2.91,9.67,7.52,9.75,7.1,6.0,4.05,4.43,555.44,1996.768893,1
Stove,Cat1,5.82,2.5,7.46,5.08,2.07,5.17,3.84,1.79,2.22,687.24,1755.134542,1
Toaster,Cat2,8.06,6.76,1.71,5.6,0.27,3.87,0.21,4.82,3.15,491.61,1512.8018650000001,0
Toaster,Cat2,8.32,9.92,7.08,2.29,5.02,5.7,4.05,9.16,9.65,794.03,1454.0495050000002,0
Laptop,Cat3,9.06,5.94,6.13,2.77,3.11,8.59,7.47,2.0,7.84,777.23,1493.6788740000002,0
Microwave Oven,Cat2,9.67,5.02,3.25,5.51,1.86,6.74,7.71,5.21,9.31,652.31,1721.973981,0
Smartphone,Cat3,0.5,9.56,3.98,0.68,8.13,9.95,6.08,5.82,0.59,243.6,468.42716900000005,0
Stove,Cat1,3.84,0.7,3.82,1.38,1.74,0.93,7.49,1.41,3.78,393.8,762.221498,0
Smartphone,Cat3,8.83,0.63,8.27,7.82,7.45,4.15,5.12,4.87,8.1,877.53,2430.3764100000008,1
Monitor,Cat4,9.63,3.51,1.84,9.61,1.93,4.07,9.68,9.94,4.12,573.88,2239.299942,1
Fridge,Cat1,3.74,9.15,2.39,5.34,4.71,0.74,6.17,7.09,6.91,317.15,1262.0677009999997,0
Microwave Oven,Cat2,2.81,0.95,0.59,7.91,0.87,9.71,9.58,5.75,6.32,170.42,1449.431432,0
Smartphone,Cat3,6.71,0.51,8.07,8.3,7.77,2.02,4.64,9.66,8.98,762.54,2356.966578,1
Laptop,Cat3,3.07,9.78,6.92,9.53,3.53,0.3,1.46,6.08,9.9,527.29,2237.41119,1
Speaker,Cat4,9.6,0.27,0.87,3.57,1.42,5.63,4.52,3.57,8.87,518.6,1219.5536869999999,0
Microwave Oven,Cat2,2.85,2.37,5.95,6.96,6.38,6.14,1.45,4.25,3.66,460.41,1740.049476,0
Microwave Oven,Cat2,0.78,0.52,8.86,0.1,3.91,4.92,1.83,6.07,8.92,513.5,782.287802,0
Tablet,Cat3,3.27,0.35,3.07,1.91,1.14,4.38,9.88,5.52,4.06,325.47,748.0930860000001,0
Microwave Oven,Cat2,3.27,8.34,3.79,2.5,0.18,9.96,3.49,5.73,4.75,368.71,905.5444650000001,0
Washing Machine,Cat1,0.23,5.34,8.73,9.27,8.43,7.81,4.14,2.47,4.02,482.39,2163.779962,1
Toaster,Cat2,5.82,9.14,3.35,0.19,0.38,6.53,0.56,7.83,3.43,470.83,670.5758830000002,0
Air Conditioner,Cat1,5.23,0.67,7.36,3.85,6.47,8.75,6.14,0.99,1.39,651.97,1518.288499,0
Air Conditioner,Cat1,0.29,0.52,7.85,4.6,1.01,1.43,1.2,2.7,5.71,435.2,1367.4124410000002,0
Monitor,Cat4,5.07,7.87,2.53,9.89,0.76,0.21,6.05,9.53,2.07,389.2,2059.818507,1
Air Conditioner,Cat1,3.52,5.4,4.78,4.41,6.69,6.61,0.37,8.09,1.79,432.39,1294.4674389999998,0
Smartphone,Cat3,9.95,2.55,1.13,7.43,0.56,8.26,8.09,9.28,8.54,551.07,1862.9109339999998,1
Iron,Cat2,7.16,6.9,3.09,5.62,7.2,8.86,9.28,3.67,2.84,521.6,1572.409634,0
Stove,Cat1,1.01,2.25,7.26,2.45,6.83,7.35,2.68,2.35,5.92,440.15,1032.972792,0
Monitor,Cat4,1.0,3.31,1.5,3.43,1.13,1.39,4.13,6.78,8.16,131.45,718.4314260000001,0
Air Conditioner,Cat1,5.25,3.64,1.43,6.78,1.51,8.65,5.6,5.32,4.03,336.85,1496.0841930000001,0
Toaster,Cat2,6.59,7.88,2.16,0.3,2.81,6.88,4.22,3.97,9.84,444.22,637.8671539999999,0
Audio Equipment,Cat4,4.53,7.29,1.25,5.45,6.31,1.57,1.67,8.07,3.92,293.86,1233.995532,0
Vacuum Cleaner,Cat2,8.05,4.57,2.66,7.04,9.76,8.33,8.11,6.41,9.48,540.98,1810.6695680000005,1
Audio Equipment,Cat4,0.8,5.03,7.55,6.09,1.21,7.2,3.6,3.8,1.17,446.88,1610.192597,0
Monitor,Cat4,9.97,5.36,8.17,7.03,0.75,3.59,8.65,7.89,8.9,930.79,2374.9123299999997,1
Laptop,Cat3,7.38,3.2,2.21,4.57,8.42,7.15,7.55,5.79,6.68,483.12,1348.456148,0
Microwave Oven,Cat2,1.98,8.16,8.95,3.54,8.56,0.79,2.01,8.11,1.27,581.65,1404.3907269999997,0
Fridge,Cat1,8.68,6.71,5.69,7.1,0.99,8.3,4.99,8.56,9.08,735.39,2106.302688,1
Vacuum Cleaner,Cat2,9.04,6.42,7.9,3.96,0.97,1.99,0.97,5.65,7.43,871.21,1820.3914629999997,1
Vacuum Cleaner,Cat2,4.89,5.74,3.24,3.59,8.63,7.04,7.49,2.03,4.61,417.42,1128.0070910000002,0
Smartphone,Cat3,4.65,7.85,8.15,4.41,1.67,8.35,4.42,2.07,8.37,669.84,1639.8231970000002,0
Washing Machine,Cat1,9.78,6.89,4.63,4.12,4.07,2.63,1.59,4.23,9.58,732.68,1626.728278,0
TV,Cat4,4.82,7.92,5.27,8.71,5.45,8.71,7.2,7.39,9.5,523.98,2083.7790500000006,1
Iron,Cat2,5.6,9.0,7.64,7.98,7.16,6.29,4.52,5.34,3.18,689.89,2211.897028,1
Smartphone,Cat3,4.55,7.06,6.93,2.76,2.07,8.75,4.02,9.13,2.15,599.12,1278.338855,0
Laptop,Cat3,9.19,0.36,6.42,9.62,2.89,1.93,3.29,6.81,8.98,795.83,2581.418518,1
Tablet,Cat3,2.84,0.68,4.44,8.41,3.19,1.6,5.9,9.91,8.92,377.91,1840.127642,1
Audio Equipment,Cat4,6.84,8.34,9.78,2.24,7.65,2.64,2.33,7.21,7.14,865.05,1571.6581239999998,0
Iron,Cat2,9.86,1.4,6.99,4.59,9.72,6.75,7.19,2.4,9.55,860.08,1890.782145,1
TV,Cat4,7.86,2.11,3.42,4.03,2.08,8.86,8.71,7.65,1.69,570.86,1391.4519590000002,0
iPhone 11,Cat3,1.56,0.63,8.21,7.22,2.65,9.94,4.23,8.09,2.9,517.14,1881.87954,1
Microwave Oven,Cat2,0.38,1.96,5.19,2.78,9.09,9.32,1.72,5.69,8.88,298.18,877.221778,0
Stove,Cat1,5.14,4.82,4.52,3.02,8.6,8.59,2.08,8.05,2.4,497.79,1157.96662,0
Smartphone,Cat3,6.79,1.1,6.57,1.36,5.68,2.19,4.7,7.43,3.46,686.41,1165.248546,0
Audio Equipment,Cat4,3.66,8.26,3.61,5.66,0.91,3.34,7.88,4.81,4.63,378.07,1404.713053,0
Monitor,Cat4,9.29,1.21,7.3,4.76,3.47,2.75,4.83,3.64,7.48,848.41,1906.4523379999998,1
Washing Machine,Cat1,3.99,0.47,4.61,2.85,0.23,0.37,2.43,5.22,4.55,443.34,1063.0481250000003,0
Stove,Cat1,2.38,8.14,3.79,0.78,5.76,6.51,4.09,3.03,6.94,324.88,583.560374,0
iPhone 11,Cat3,9.57,3.68,1.75,5.47,2.21,1.87,3.31,5.52,3.66,566.17,1586.594136,0
Audio Equipment,Cat4,4.5,1.27,3.83,5.45,5.94,8.93,4.14,9.74,1.14,427.3,1435.6671239999998,0
Audio Equipment,Cat4,7.64,4.49,9.87,3.15,7.1,3.51,7.68,8.24,9.91,906.98,1766.0270009999997,1
Smartphone,Cat3,6.22,2.51,3.19,3.04,3.5,9.47,5.84,1.48,9.43,478.21,1118.0654729999999,0
Laptop,Cat3,2.75,5.88,4.75,9.39,7.56,0.87,1.22,8.41,3.97,393.13,2016.4910570000002,1
Washing Machine,Cat1,3.45,8.6,4.34,5.99,4.36,5.03,1.29,8.44,2.27,407.14,1502.3454969999998,0
Vacuum Cleaner,Cat2,3.91,8.97,2.93,7.53,5.67,3.57,1.24,0.3,7.0,354.4,1655.65785,0
Toaster,Cat2,3.17,7.29,3.41,9.32,0.73,1.51,7.58,7.25,1.94,342.69,1924.4513740000002,1
Toaster,Cat2,7.37,3.4,1.91,6.39,9.53,0.97,5.8,3.46,0.59,466.57,1605.6135889999998,0
iPhone 11,Cat3,8.58,9.02,9.48,9.94,9.37,9.94,7.19,5.48,5.41,935.02,2849.7089409999994,1
iPhone 11,Cat3,5.28,7.88,0.51,3.16,5.29,5.91,5.84,3.54,7.42,291.46,866.327692,0
Toaster,Cat2,2.79,8.77,3.35,1.46,9.57,2.19,1.94,7.09,3.41,321.79,679.2509210000001,0
Smartphone,Cat3,1.35,4.5,3.61,8.3,5.89,9.84,9.46,3.85,7.49,262.6,1667.441559,0
Air Conditioner,Cat1,9.77,6.33,5.8,5.81,5.91,5.7,0.75,1.89,4.43,794.64,1982.413093,1
iPhone 11,Cat3,3.51,3.01,3.09,2.2,6.35,3.47,2.96,9.58,9.6,339.91,812.0635299999999,0
Iron,Cat2,1.66,2.14,6.04,2.13,4.31,9.38,6.25,3.4,0.86,406.66,924.815406,0
Smartphone,Cat3,5.51,1.05,4.35,8.09,9.74,9.06,5.96,0.44,5.78,504.72,1949.465218,1
Smartphone,Cat3,7.35,5.43,4.49,0.63,3.09,9.16,6.56,1.52,6.11,605.05,922.6402909999999,0
Fridge,Cat1,3.53,8.3,0.75,3.65,3.08,7.87,6.18,3.08,2.72,218.58,853.643822,0
Laptop,Cat3,0.27,3.83,1.89,7.06,3.99,9.23,4.38,2.1,2.41,116.96,1268.2040109999998,0
Speaker,Cat4,6.3,8.47,6.42,0.55,8.85,5.23,0.34,4.47,6.46,658.62,1004.266526,0
Air Conditioner,Cat1,7.95,1.04,6.36,1.38,3.93,4.97,5.97,0.58,3.86,732.15,1223.256516,0
Fridge,Cat1,5.89,8.73,8.65,8.16,2.68,8.18,1.43,3.58,3.38,758.08,2339.269918,1
Monitor,Cat4,8.37,6.99,2.05,4.72,5.57,5.68,6.7,0.79,5.23,525.3,1423.6014929999994,0
Stove,Cat1,8.52,2.62,8.41,7.89,9.09,0.86,4.81,1.85,1.8,870.9,2435.14445,1
Fridge,Cat1,2.49,8.51,5.46,5.62,2.08,3.44,5.94,6.11,1.7,419.87,1476.0652400000004,0
Smartphone,Cat3,9.61,2.86,7.04,3.4,3.76,4.31,7.87,3.46,5.99,851.18,1696.092329,0
TV,Cat4,4.27,7.34,4.77,3.83,5.74,0.56,1.33,5.61,2.63,469.69,1251.8878529999995,0
iPhone 11,Cat3,0.68,9.32,5.71,6.77,2.03,3.07,0.76,7.0,7.59,344.79,1563.0427289999998,0
Stove,Cat1,8.6,3.24,8.94,0.44,7.4,5.39,8.64,8.71,1.77,903.64,1329.0590569999997,0
Washing Machine,Cat1,1.18,5.3,8.94,3.89,6.08,3.4,5.93,6.74,2.05,540.18,1405.598225,0
Fridge,Cat1,7.87,4.31,2.62,7.62,8.95,4.96,4.64,3.19,8.52,529.77,1885.7453819999998,1
iPhone 11,Cat3,9.64,2.94,1.48,8.44,4.14,6.07,3.85,3.55,7.9,554.83,2028.8854699999997,1
Toaster,Cat2,9.2,3.35,2.39,7.8,5.87,5.0,3.12,1.03,2.9,582.2,1976.48398,1
Laptop,Cat3,7.73,5.67,1.36,3.32,0.84,5.17,5.95,2.22,6.8,456.05,1109.6709700000001,0
Smartphone,Cat3,1.84,1.82,9.78,5.0,6.58,0.82,0.7,4.74,7.0,615.58,1683.15782,0
Vacuum Cleaner,Cat2,3.35,3.34,9.74,9.94,4.35,6.84,9.68,5.69,1.27,688.59,2540.9503769999997,1
Laptop,Cat3,6.03,1.99,5.88,4.72,7.3,9.91,8.09,9.57,3.66,612.77,1584.2150859999997,0
Smartphone,Cat3,4.57,0.47,5.51,8.45,4.83,0.82,3.75,3.17,4.59,520.14,2040.0154690000002,1
Stove,Cat1,1.75,3.4,5.02,5.62,9.24,2.65,6.41,0.38,4.78,357.09,1389.7823079999998,0
Speaker,Cat4,8.87,6.81,4.64,7.82,5.8,2.48,0.47,7.69,4.41,688.48,2144.5648910000004,1
Stove,Cat1,9.64,2.51,2.92,8.5,4.93,1.61,2.41,7.92,1.48,631.66,2154.279198,1
Laptop,Cat3,0.6,7.87,5.75,0.99,9.32,8.04,9.86,5.2,8.53,342.36,664.444353,0
Audio Equipment,Cat4,6.36,9.81,2.22,2.22,2.77,2.49,6.82,6.9,2.26,437.16,927.794296,0
TV,Cat4,4.23,9.17,6.94,9.55,7.72,3.18,2.41,6.64,6.48,585.12,2313.654888000001,1
iPhone 11,Cat3,6.12,1.91,7.17,2.39,3.59,5.34,9.73,1.33,1.84,686.13,1332.8362740000002,0
Fridge,Cat1,9.54,0.79,8.2,2.07,4.33,2.99,3.16,7.78,2.64,908.69,1577.5186339999998,0
iPhone 11,Cat3,8.36,7.88,4.98,9.26,2.42,6.51,6.51,6.38,6.78,682.28,2364.8423279999997,1
Microwave Oven,Cat2,2.66,0.67,4.59,9.01,2.06,2.22,4.99,8.45,1.01,377.09,1934.0921709999998,1
Microwave Oven,Cat2,2.06,7.6,0.75,5.25,5.45,9.68,7.86,4.49,2.15,146.02,1009.9655450000001,0
Smartphone,Cat3,8.66,3.78,0.56,9.94,3.2,5.67,4.56,4.75,5.99,457.84,2126.885279,1
Laptop,Cat3,1.76,5.71,3.3,8.04,9.38,9.52,1.7,8.98,1.52,266.88,1628.574992,0
Fridge,Cat1,4.19,4.13,7.51,7.63,3.44,9.6,2.32,3.76,0.28,610.87,2055.0813680000006,1
Monitor,Cat4,4.75,2.23,3.14,8.83,9.3,8.89,1.09,2.79,5.43,403.21,1920.0912630000005,1
Vacuum Cleaner,Cat2,4.03,6.84,9.82,2.54,2.82,0.44,1.44,6.56,5.6,728.15,1445.5808000000004,0
Smartphone,Cat3,1.53,5.44,3.52,4.5,4.68,2.75,4.9,3.13,2.67,267.02,1082.891447,0
Fridge,Cat1,5.26,3.54,6.5,2.1,8.51,0.52,0.61,0.36,7.32,608.89,1181.6624720000002,0
Iron,Cat2,9.09,7.62,3.62,7.47,3.19,5.78,5.48,9.0,7.71,645.13,2022.2306910000002,1
Toaster,Cat2,5.98,0.43,5.81,4.01,3.75,5.68,8.76,8.64,9.05,605.54,1463.7153850000002,0
Monitor,Cat4,7.66,7.76,7.68,9.7,9.99,5.87,3.05,4.91,1.18,792.58,2608.296978,1
Stove,Cat1,3.13,9.86,2.89,3.53,3.85,0.71,7.24,8.23,2.04,314.36,984.8715039999998,0
Laptop,Cat3,8.36,9.59,0.4,8.42,3.42,7.99,1.66,3.85,4.74,437.9,1865.287674,1
Vacuum Cleaner,Cat2,5.08,5.25,3.0,7.96,4.08,6.79,6.5,6.55,0.41,413.55,1797.1427009999998,1
Stove,Cat1,1.69,3.91,8.82,1.91,9.74,9.42,6.7,5.18,3.36,558.18,1119.5469560000004,0
iPhone 11,Cat3,2.05,0.65,6.01,3.73,4.22,3.28,1.03,1.5,6.29,423.24,1192.8791889999995,0
Iron,Cat2,5.58,1.21,2.53,3.79,6.71,9.08,6.6,9.65,7.48,410.69,1140.0188179999998,0
Air Conditioner,Cat1,9.46,7.15,2.9,4.35,5.3,2.32,3.34,3.82,2.46,624.43,1502.686246,0
Monitor,Cat4,9.31,3.1,5.41,5.71,5.56,6.4,4.83,4.69,6.5,749.3,1903.80896,1
iPhone 11,Cat3,0.76,8.04,4.82,2.99,0.81,6.39,9.56,2.85,7.85,300.34,908.9775050000001,0
Audio Equipment,Cat4,2.05,4.1,1.36,6.96,1.36,2.74,7.95,8.82,9.8,176.02,1320.19274,0
iPhone 11,Cat3,8.79,8.62,6.22,3.21,0.76,8.87,5.36,6.72,7.83,770.29,1554.930653,0
Laptop,Cat3,2.2,7.18,3.21,4.58,8.85,8.01,4.33,9.49,9.53,284.48,1113.6360129999998,0
Washing Machine,Cat1,5.88,9.64,7.45,3.8,0.72,8.91,5.6,3.82,2.95,693.8,1566.553945,0
Air Conditioner,Cat1,3.24,8.22,9.64,3.19,9.22,4.88,4.35,0.8,3.49,680.65,1484.3609490000001,0
Air Conditioner,Cat1,1.63,3.61,8.23,2.34,3.08,5.94,0.85,4.26,5.56,523.29,1134.094496,0
Microwave Oven,Cat2,5.02,8.96,2.95,8.66,6.92,6.98,9.64,1.32,1.43,410.09,1901.476683,1
Washing Machine,Cat1,5.87,1.38,9.77,5.46,5.92,4.73,9.24,5.11,6.54,812.88,2003.3105139999996,1
Audio Equipment,Cat4,9.39,1.65,2.71,9.73,9.19,5.56,4.75,8.9,3.01,607.77,2311.840401,1
Speaker,Cat4,3.25,4.33,1.55,0.2,6.9,7.73,2.13,7.52,4.89,245.46,362.59139899999997,0
Tablet,Cat3,6.04,3.1,4.08,8.5,5.22,7.05,3.78,5.44,2.54,517.37,2025.793544,1
Laptop,Cat3,5.49,7.14,3.49,7.7,1.06,3.23,6.62,0.59,5.86,460.92,1823.5604660000004,1
Laptop,Cat3,2.61,2.58,5.53,3.47,7.94,0.88,8.51,3.62,8.58,426.15,1150.336798,0
iPhone 11,Cat3,3.81,5.4,5.25,1.14,7.01,1.12,1.41,6.19,5.8,471.72,843.49921,0
Washing Machine,Cat1,6.77,4.86,4.35,7.3,7.69,1.49,3.62,2.54,1.03,568.65,1908.445753,1
Monitor,Cat4,0.95,4.63,8.92,4.54,2.89,9.35,1.32,1.0,2.07,527.49,1489.8981170000002,0
Vacuum Cleaner,Cat2,3.99,1.54,0.32,4.43,2.73,5.88,8.22,0.63,1.99,214.23,961.756909,0
Tablet,Cat3,1.83,2.49,9.37,2.63,5.26,5.47,9.25,7.66,1.78,593.58,1282.8548479999997,0
Washing Machine,Cat1,9.23,9.15,3.43,7.8,8.59,2.97,7.24,5.51,8.47,642.73,2068.1393869999997,1
iPhone 11,Cat3,2.22,3.58,1.19,4.5,2.29,0.57,7.51,4.81,0.8,174.94,935.09566,0
Toaster,Cat2,6.58,0.42,0.28,8.92,1.7,8.91,5.65,8.94,7.38,338.75,1814.058988,1
Laptop,Cat3,9.12,7.54,4.52,2.63,0.36,9.72,0.3,5.85,7.67,694.81,1346.7221570000002,0
Smartphone,Cat3,4.89,8.58,7.98,7.6,2.81,1.44,7.61,1.86,8.24,672.83,2135.906824,1
